,Faculty Name,Faculty Link,Faculty Bios
0,"Zanne Tenney Augur, MIBS",https://sc.edu/study/colleges_schools/hrsm/faculty-staff/augur-tenney-zanne.php,"Zanne Tenney Augur has 25 years in international marketing working in various international posts, including Paris, France, and Dubai, U.A.E. After earning a Master of International Business from the Darla Moore School of Business, Augur started an event and PR company in Dubai, running major events such as the FIFA World Congress and the Dubai International Shopping Festival. Prior to working in academia, Augur led the Westfield Shopping Center companys southern California marketing and events program for six years, developing strategic partnerships and events keeping center traffic and sales levels on par with pre-recession levels.She has taught 100 and 200 level courses in business, hospitality, marketing and management for The Technical College of the Lowcountry in Beaufort, S.C., and at Goldenwest Community College in Huntington Beach, Calif. Augur's corporate expertise is in creating and orchestrating marketing campaigns and global events that reach target audiences and achieve ROI objectives. In addition, Augur's husband and son moved with her from Corona del Mar, Calif., to Beaufort, S.C., in 2018, where they currently own Lady's Island Marina. She played Division III college basketball and is now an avid marathon runner. RETL 242 Professional Communications"
1,"Kevin M. Ayres, M.H.R.T.M., C.C.M.",https://sc.edu/study/colleges_schools/hrsm/faculty-staff/ayres_kevin.php,"M.S., Hospitality, Restaurant and Tourism Management, University of South Carolina, 1999B. S., Hotel Management, University of Nevada, Las Vegas 1987 After graduating from UNLV, Kevin Ayres started his career with Marriott in the foodservice division and ran airport operations in Las Vegas and Cleveland before coming to the education division at the University of South Carolina. At South Carolina, Ayres spent six years overseeing the operation of Williams-Brice stadium as well as the Carolina Coliseum. During the summer months he was responsible for the concession and catering operation at Capital City Stadium for the Capital City Bombers.Ayres was a member of the conversion team at Augusta National Golf Club for The Masters helping with the transition from an outside vendor to an in-house concession operation. Ayres owns and serves as president for State Street Snacks. State Street Snacks is a manufacturer of gourmet popcorns sold at Cracker Barrel and Rite-Aid stores and many local retailers throughout the country."
2,"Khalid Ballouli, Ph.D.",https://sc.edu/study/colleges_schools/hrsm/faculty-staff/ballouli_khalid.php,"Ph.D., Texas A&M University, 2011M.S., Texas A&MUniversity, 2008B.S., Texas A&MUniversity, 2006 Khalid Ballouli joined the Department of Sport and Entertainment Management in 2011 after receiving his Ph.D. in sport management from Texas A&M University. In 2018, Ballouli was appointed Ph.D. program director for the department. Ballouli's research interests center on sport marketing and sport consumer behavior, with a distinct focus on the ubiquitous nature of music in contemporary sport. Ballouli has published his research in leading peer-reviewed journals, such as Journal of Sport Management, Sport Management Review, and Sport Marketing Quarterly, and his research has been presented at several academic conferences, including annual meetings for North American Society for Sport Management, European Association of Sport Management, and Sport Marketing Association. He was honored with the Outstanding Service Award from the Sport Marketing Association after serving two terms as the vice president of Academic Affairs. He currently serves on the editorial boards for Sport Marketing Quarterly and Sport and Entertainment Review. Ballouli has receivedmore than $300,000in external and internal grant funding and has worked on collaborative research projects with several sport organizations, including Circuit of The Americas, Austin Fan Fest, Hip Hop Loves, and Texas A&M Football. He is a recipient of the Patricia G. Moody Distinguished Researcher Award, the highest recognition the College of Hospitality, Retail and Sport Management awards for research and scholarship. Ballouli spent six years in professional baseball as a pitcher in the Milwaukee Brewers farm system, during which time he gained first-hand knowledge of the professional sports industry. He played college baseball at Texas A&M University, where he was a team captain, All-Conference, and NCAA College World Series participant. Ballouli remains active in his community by helping youth baseball organizations foster athlete and community development, and often lends his time and expertise to researchers and educators in this field. Ballouliis married to Jessica and they have three children, Farrah, Zaki, and Maya.Hwang, Y., Ballouli, K., K. K. F., So, andHeere, B. (in press). Effects of brand congruity and game difficulty on gamers response to advertising in sport video games. Journal of Sport Management, 1-49. Ballouli, K., Koesters, T. C., andHall, T. (in press). Leverage and activation of sponsorship through music festivals. Event Management, 1-26. Cohen, A., andBallouli, K. (in press). Exploring the cultural intersection of music, sport, and physical activity among at-risk urban youth. International Review for the Sociology of Sport, 1-37. Ballouli, K., andHeere, B. (2015). Sonic branding in sport: A model for communicating brand identity through musical fit. Sport Management Review, 18(3), 321-330. Ballouli, K., andBennett, G. (2014). New (sound)waves in sport marketing: Do semantic differences in analogous music impact shopping behaviors of sport consumers? Sport Marketing Quarterly, 23(2), 59-72."
3,Estefania Basurto,https://sc.edu/study/colleges_schools/hrsm/faculty-staff/basurto_estefania.php,"Estefania Basurto serves as research assistant professor in The Richardson Family SmartState Center of Economic Excellence in Tourism and Economic Development. In addition, she serves as the Destination Management Team Leader for the center."
4,"Marianne C. Bickle, Ph.D.",https://sc.edu/study/colleges_schools/hrsm/faculty-staff/bickle_marianne.php,"Ph.D., Michigan State University, East Lansing, Mich.M.A., Michigan State University, East Lansing, Mich.B.S., Michigan State University, East Lansing, Mich. Marianne Bickle is the director of theBachelor of Arts in Interdisciplinary Studies (B.A.I.S.) programand director of online learning for the College of Hospitality, Retail and Sport Management.Bickle's passion for and expertise in online learning are the driving forces behind her goal to assist students in earning their bachelors degrees. In addition to teaching online,Bickle conducts research in the areas of online learning, consumer satisfaction and retail sales. She has secured in excess of $8.5 million in funding from federaland industry research grants, private donations, gifts-in-kind and training grants. Prior to her tenure as director of B.A.I.S.,Bickleserved as chair of the Department of Retailing. Under her leadership, the department was ranked second in North Americafor its scholarly research output. Bickle, M. C., &Burnsed, K. A. (2018). ""College sports fans: Examination of attachment, feelings and bragging rights."" Presentation at the Consumer Satisfaction, Dissatisfaction and Complaining Behavior Conference, June 19-22, 2018, New York, N.Y. Bickle, M. C., &Rucker, R. D. (2018). ""Examination of course attributes that contribute to student satisfaction with online learning."" Presentation at the Consumer Satisfaction, Dissatisfaction and Complaining Behavior Conference, June 19-22, 2018, New York, N.Y. Bickle, M. C., & Rucker, R. D. (2018). ""Student-to-student interaction: Humanizing the online classroom using technology and group assignments."" Quarterly Review of Distance Education, 19(1),1-12. Razalan, Danielle M.,Bickle, M. C., Park, Joohyung, & Brosdahl, Deborah (2017). ""Local retailers perspectives on social responsibility. International Journal of Retail and Distribution Management, 45(2), 1-17. Bickle, M. C., Burnsed, K. A., & Edwards, K. L. (2015)."" Are U.S. plus-size women satisfied with retail clothing store environments?"" Journal of Consumer Satisfaction/Dissatisfaction and Complaining Behavior, 28, 45-60. Burnsed, K. A. &Bickle, M. C.(2015). ""A comparison of U.S. generational cohorts shopping mall behaviors and desired features."" International Journal of Sales, Retailing and Marketing, 4(6), 18-30. Bickle, M. C.(2012). ""Satisfaction with corporate social responsibility efforts in the food industry: Chipotle, Clif Bar, McDonalds and Yale University."" Consumer Satisfaction/Dissatisfaction and complaining Behavior, available on CDROM. Conference held in La Verne, CA, June 20-24, 2012. Hyllegard, K., Ogle, J., Rudd. N., Littrell, M., &Bickle, M.(2012, Fall). ""Course development in socially responsible advertising and promotion: An interdisciplinary and stakeholder approach."" Marketing Education Review, pp. 225-239. Bickle, M. C.(2010). ""Tobacco and alcohol companies efforts to respond to dissatisfied consumers: Examination of corporate social responsibility."" Consumer Satisfaction/Dissatisfaction and Complaining Behavior full paper conference proceedings. Available on CDROM. Conference held in Oak Park, Ill. June 15-18, 2010. Bickle, M. C.& Harrill, R. (2010) ""Avoiding cultural misconceptions during globalization of tourism."" International Journal of Culture, Tourism and Hospitality Research, (4)4: 283-286. Wang, S., Bickle, M. C., & Harrill, R. (2010). ""Residents attitudes toward tourism development in Shandong, China."" International Journal of Culture, Tourism and Hospitality Research, (4)4: 327-339. Bickle, M. C., Papas, L., Sanders, E., & Mallette, D. (2008). ""High school teachers complaining behavior toward gothic and punk clothing and appearance."" Consumer Satisfaction/Dissatisfaction and Complaining Behavior full paper conference proceedings. Available on CDROM. Conference held in Las Vegas, N.V. June 12-15, 2008. Bickle, M. C., Buccine, R., Makela, C. J., & Mallette, D. (2006). ""Retail channel choice behavior: Examination of consumers uniqueness."" The International Review of Retail, Distribution and Consumer Research. 16(3), 317-331. Aron, D.,Bickle, M. C., Cohn, D., Hartman, L., Jones, A., and Wright, N. (2018). ""Enhancing the learning experience."" Panel discussion at the Consumer Satisfaction, Dissatisfaction and Complaining Behavior Conference, June 19-22, 2018, New York, N.Y."
5,"Kate Blanton, M.Ed.",https://sc.edu/study/colleges_schools/hrsm/faculty-staff/blanton_kate.php,"B.S., Secondary Education, Integrated Language Arts, Bowling Green State UniversityM.E., Curriculum and Instruction, University of Cincinnati Kate Blanton began her career in public education in Cincinnati, Ohio, as a high school English teacher and later served as an academic advisor and faculty member at Cincinnati State Technical and Community College teaching First Year Experience courses. As a Ph.D. student in the College of Education at the University of South Carolina, Blanton values the positive impact that faculty members and academic advisors have on students collegiate experiences and strives to develop strong relationships with HRSM students that promote both academic and professional growth. Blanton began advising first-year students for the College of Hospitality, Retail and Sport Management in August 2016, and in 2018 became an advisor for upperclassmen in the Sport and Entertainment Management program. In addition to her advising role, she also teaches University 101 and EDFI 300."
6,"Kim Boone, B.S.",https://sc.edu/study/colleges_schools/hrsm/faculty-staff/boone_kim.php,"B.S., Sport and Entertainment Management, University of South CarolinaKim Boone is the director of special events for the Department of Sport and Entertainment Management. A native of upstate New York, she earned a B.S. in Sport and Entertainment Management and a minor in Business from the University of South Carolina in 2002. Boonehas been with the department since 2012, andasthe director for special events, directs two large annual conferences: the Sport Entertainment and Venues Tomorrow Conference (SEVT)and College Sport Research Institute (CSRI). Additionally, she manages The Thomas H. Regan Lecture Series and helps in the planning of events for the Graduate Student Association and the Sport and Entertainment Club. She also serves on the College of Hospitality, Retail and Sport Management Alumni Society Committee. Prior to coming full circle back to the Department of Sport and Entertainment Management, she began her career as group sales coordinator at the Colonial Life Arena, managed by Global Spectrum, and later as the marketing manager for Enterprise Rent-A-Car (now Enterprise Holdings) for South Carolina and Southeast Georgia. Boone and her husband Lexie have a daughter, Cora, and a son, Battley."
7,Madeline Broderick,https://sc.edu/study/colleges_schools/hrsm/faculty-staff/broderick_madeline.php,"Madeline Broderick is a seasoned administrative coordinator with more than14 years of experience in academia. Broderick has extensive administrative experience in higher education, government and public health. Shehas served the University of South Carolina as a program manager, project coordinator and grant writer and now acts as the administrative coordinator to the dean of the College of Hospitality, Retail and Sport Management. Broderick works closely with and provides administrative support to the dean and associate dean for diversity and operations to carry out the mission of the college."
8,"Deborah J. C. Brosdahl, Ph.D., M.S., B.S.",https://sc.edu/study/colleges_schools/hrsm/faculty-staff/brosdahl_deborah.php,"Ph.D., Textiles and Clothing, Iowa State University, Ames, IAM.S., Textile and Apparel Management, University of Missouri, Columbia, MOB.S., Home Economics Education, Iowa State University Ames, IA Deborah J. C. Brosdahl is an associate professor in the Department of Retailing at the University of South Carolina, where she teaches retail management strategies and multi-national retailing. Brosdahl's research focuses on consumer behavior especially with regard to adolescents and most recently, in the area of sustainability. She also researches in the area of merchandising education. Brosdahl has received numerous teaching awards including the All-Star Award, given to the field's outstanding educator as deemed by the apparel and textile industry based on a nomination from the International Textile and Apparel Association. Brosdahl has been successful obtaining more than $700,000 in funding for her research. Her research is published in journals including the Journal of Fashion Marketing and Management, Clothing and Textiles Research Journal, Journal of Consumer Education, and the Journal of Family and Consumer Sciences. Prior to arriving at UofSC, Brosdahl was at Kansas State University in the Department of Apparel, Textiles and Interior Design for 11 years, where she received many teaching and faculty awards and was major advisor for numerous master's and Ph.D. students. Brosdahl completed her Ph.D. at Iowa State University in 1995, her M.S. from the University of Missouri in 1990, and her B.S. from Iowa State University in 1979. Brosdahl is an active member of the International Textile and Apparel Association, serving in many capacities for this professional organization including council member, conference chair, and co-editor of a special focused issue on teaching and learning of the Clothing and Textiles Research Journal. She was named to Marquis' Publication's 2009 Who's Who in America, and is a member of Kappa Omicron Nu, and Phi Upsilon Omicron. Brosdahl, D. J. C., Paige, R. C. (Submitted). ""Segmenting paradise: Targeting a tourism-dependent island country by activities of visitors."" Submitted to the InternationalJournal of Tourism Research. Brosdahl, D. J. C., Burnsed, K. A., Park, J.,and Cohen, A. (In Press). ""Reflections in the store window:U.S. women's self-comparisons to mannequins."" Journal of Business Diversity. Razalan, M., Bickle, M., Park, J., Brosdahl, D. (2017). ""Local retailers' perspectives on social responsibility."" International Journal of Retail and Distribution Management, 45(2), 211-226. Brosdahl, D. J. C., Paige, R. C., Bridges, W. C., and Nierop, T. (2014). ""Profiling Aruban off-islandshoppers: Demographics, destinations, expenditures, and shopping importance."" International Journal of Arts and Commerce, 3(4), 85-96. http://www.ijac.org.uk/Acceptance rate: Less than 50%. Contribution: 60% Al Mousa, M. and Brosdahl, D. J. C. (in press). "" Online apparel purchasing: A cultural comparison of Saudi Arabian and U.S. consumers."" Journal of International Business and Cultural Studies. Brosdahl, D. J. C. (2013). ""Every man for himself! A review of shopping loyaltydifferences between men and women."" In Psychology of Loyalty. (pp. 109-121). NY: Nova Publishers. Brosdahl, D. J. C., and Al Mousa, M. (2013). ""Risk perception and internet shopping: comparing United States and Saudi Arabian consumers."" Journal of Marketing and Management Research, 13(May). Available here. Pinson, C. and Brosdahl, D. J. C. (2013). ""The Church of Mac: exploratory examination on the loyalty of Apple customers."" Journal of Marketing and Management Research. Available here.Brosdahl, D. J. C. and al Mousa, M. (in press). ""The influence of risk perception in online purchasing behavior: A cross-cultural study."" Journal of Management and Marketing Research. Brosdahl, D. J. C. and Carpenter, J. M. (2012). ""US male generational cohorts: Retail format preferences, desired retail attributes, satisfaction and loyalty."" Journal of Retailing and Consumer Services, (19)6, 545-552. Brosdahl, D. J. C., and Carpenter, J. M. (Fall 2011). ""Is green the new black? Assessing textile and apparel undergraduate students' environmental knowledge, concern and responsibility."" Journal of Textile and Apparel, Technology and Management, 7(2), 1-15. Brosdahl, D. J. C., and Carpenter, J. M. (2011). ""Shopping orientations of US males: A generational cohort comparison. Journal of Retailing and Consumer Services,18(6), 548-554. Brosdahl, D. J. C., and Carpenter, J. M. (2010). ""Consumer knowledge of the environmental impacts of textile and apparel production, concern for the environment, and environmentally friendly consumption behavior."" Journal of Textile and Apparel, Technology and Management, 6(4), 1-9. Carpenter, J. M., and Brosdahl, D. J. C. (in press). ""Exploring retail format choice among U.S. males."" International Journal of Retail and Distribution Management. Meyer-Brosdahl, D. J. C. (2007). ""Quality over quantity: The key to sustainable fashion?"" FutureFashion White Papers. NY, NY: Earth Pledge. Meyer, D. J. C., and Kadolph, S. J. (2005). ""The scholarship of teaching and learning in textiles and apparel."" Clothing and Textiles Research Journal, 23(4), 209-215. LeHew, M. L. A., and Meyer, D. J. C. (2005). ""Preparing global citizens for leadership in the textile and apparel industry."" Clothing and Textiles Research Journal, 23(4), 290-297. Meyer, D. J . C., and Kadolph, Sara J. (2001/2002). ""Educating the adolescent clothing consumer: Advancing the understanding of quality."" Journal of Consumer Education 19/20, 18-24. Meyer, D. J. C., and LeHew, M. (2001). ""The professional Master's degree: Addressing the changing needs of textiles and apparel students and industry."" Journal of Family and Consumer Sciences, 93(4), 75-78. Meyer, D. J. C., Kadolph, S. J., Cosbey, S., Hillery, J., Haar, S., Day, M., Keiser, S., and Brandes, K. (2001). ""Integrating quality into the textile and apparel high school curriculum."" Journal of Family and Consumer Sciences, 93(4), 84-87. Paige, R. C., Meyer, D. J. C., and Kadolph, S. J. (2001). ""Satisfying the consumer: Understanding the synergistic effects of education and informational strategies among retail channels."" Journal of Shopping Center Research, 8(1), 41-58. Meyer, D. J. C., and Anderson, H, C. (2000). ""Preadolescents and apparel purchasing: Conformity to parents and peers in the consumer socialization process."" Journal of Social Behavior and Personality, 15(2), 243-258. Anderson, H. C., and Meyer, D. J. C. (2000). ""Preadolescent consumer conformity: A study of motivation for purchasing apparel."" Journal of Fashion Marketing and Management, 4(2), 173-181. Meyer, D. J. C., and Wilson, L.. (1998). ""Bringing civilization to the frontier: The role of men's coats in 1865 Virginia City, Montana Territory."" Clothing and Textiles Research Journal, 16(1), 19-26."
9,"Matthew T. Brown, Ed.D.",https://sc.edu/study/colleges_schools/hrsm/faculty-staff/brown_matt.php,"Ed.D., University of Northern Colorado, Greeley, Colo.M.S., Western Illinois University, Macomb, Ill.B.A., Truman State University, Kirksville, Mo.A.A., Jefferson College, Hillsboro, Mo. Matthew T. Brown has been at the University of South Carolina since 2005, where he teaches and researches in the areas of sport business and finance. Brown's research has led to publications in journals like the Journal of Sport Management, Sport Marketing Quarterly, Entertainment and Sport Law Journal, the International Journal of Sport Finance, and Sport Management Review. In addition, he has made numerous national and international research presentations. Brown currently serves as the chair of the Department of Sport and Entertainment Management. During the 2020-2021 academic year he served as Interim Dean of the College of Hospitality, Retail and Sport Management. Prior to that time, he served seven years as department chair and three as graduate director. Brown has been a liaison between the department and the Lexington County Blowfish, a wood bat baseball team in the Coastal Plain League. In addition to his work with the Blowfish, Brown has served as the chief financial officer of the Southern Ohio Copperheads and treasurer of the Board of Directors of the Southern Ohio Collegiate Baseball Club. He was also the assistant girls varsity and head girls junior varsity tennis coach at Athens High School. In 2004, the team won its league championship. Brown also worked in campus recreation, collegiate athletics (as both coach and administrator), and tennis club management. He served as the treasurer of the North American Society for Sport Management from 2006 to 2012. In 2003, Brown was named the Jefferson College Alumnus of the Year. Koesters, T. C., Nagel, M. S, and Brown, M. T. (2017). ""Defending your sponsorship: The outlawing of 'Paid Patriotism.'"" Sport Marketing Quarterly, 26, 121-124. Blair, J., Titlebaum, P., Brown, M. T., and Dick, R. (2016). ""Learn what the luxury suite customer wants."" Applied Research in Coaching and Athletics Annual, 31, 224-248. Koesters, T. C., Brown, M. T., and Grady, J. (2015).""You agreed to what? Implications of past agreements between donors and athletic support groups.""Sport Marketing Quarterly, 24,67-69. Bernthal, M.J., Koesters, T. C., Ballouli, K., and Brown, M. T. (2015). ""Motivations and fan engagement related to professional bass fishing spectatorship.""Sport Marketing Quarterly, 24,6-18. Brown, M. T., and Koesters, T. (2014). ""Beware of flying hotdogs: Inherent or unreasonable risks?""Sport Marketing Quarterly, 23,47-49. Titlebaum, P., Gillentine, A., Brown, M. T., and Miller, J., Koesters, T., and DAmico, J. (2014). ""Sponsorship activation in professional sport."" International Journal of Sport Management, 15(2), 239-256. Rascher, D.A, Brown, M. T., Nagel, M.S, and McEvoy, C.D. (2012). ""Financial risk management: The role of a new stadium in minimizing the variation in franchise revenues.""Journal of Sport Economics, 13(4), 431-450. Rascher, D., Nagel, M., Brown, M., and McEvoy, C. (2011, September). ""Free-ride, take it easy: An empirical analysis of adverse incentives caused by revenue sharing.""Journal of Sport Management, 25(5), 373-390. Brown, M. and Nagel, M. (2010, September). ""Public recreation facility financing trends: Taxpayer backlash causes new models to emerge.""Journal of Venue and Event Management, 2(1), 29-36. Nagel, M. S., and Brown, M. T. (2009). ""The business of Japanese baseball.""Asian Sport Management Review, 3(1), 2-25. Rascher, D. A., Brown, M. T., Nagel, M. S., and McEvoy, C. D. (2009). ""Where did National Hockey League fans go during the 20042005 lockout? An analysis of economic competition between leagues.""International Journal of Sport Management and Marketing, 5(1/2), 183-195."
